#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-19.81, 13.67, -6.73 	24.88, 27.43, -8.53 	0.00, 40.00 	14,48,40,950		inf,inf	0,0 	0
0       	-19.82, 13.65, -6.73 	24.88, 27.46, -8.53 	0.00, 40.00 	14,48,40,950		inf,inf	0,0 	0
0       	-19.82, 13.65, -6.73 	24.89, 27.47, -8.53 	0.00, 40.00 	14,48,40,950		-nan,inf	0,0 	0
0       	-19.82, 13.65, -6.73 	24.93, 27.50, -8.53 	0.00, 40.00 	14,48,40,950		-nan,inf	0,0 	0
0       	-19.82, 13.65, -6.73 	24.95, 27.53, -8.51 	0.00, 40.00 	14,48,40,950		-nan,inf	0,0 	0
0       	-19.82, 13.66, -6.73 	24.98, 27.55, -8.50 	0.00, 40.00 	14,48,40,951		inf,inf	0,0 	0
0       	-19.81, 13.66, -6.72 	24.96, 27.54, -8.51 	0.00, 40.00 	14,48,40,951		inf,inf	0,0 	0
0       	-19.81, 13.66, -6.72 	24.95, 27.50, -8.51 	0.00, 40.00 	14,48,40,951		-nan,inf	0,0 	0
0       	-19.81, 13.66, -6.72 	24.93, 27.48, -8.50 	0.00, 40.00 	14,48,40,951		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	24.93, 27.47, -8.49 	0.00, 40.00 	14,48,40,951		inf,inf	0,0 	0
0       	-19.81, 13.66, -6.72 	24.95, 27.52, -8.49 	0.00, 40.00 	14,48,40,951		inf,inf	0,0 	0
0       	-19.81, 13.66, -6.72 	24.99, 27.54, -8.49 	0.00, 40.00 	14,48,40,951		-nan,inf	0,0 	0
0       	-19.81, 13.65, -6.72 	25.03, 27.56, -8.49 	0.00, 40.00 	14,48,40,951		inf,inf	0,0 	0
0       	-19.81, 13.65, -6.72 	25.06, 27.57, -8.48 	0.00, 40.00 	14,48,40,951		-nan,inf	0,0 	0
0       	-19.82, 13.66, -6.73 	25.08, 27.58, -8.49 	0.00, 40.00 	14,48,40,951		inf,inf	0,0 	0
0       	-19.82, 13.65, -6.73 	25.09, 27.59, -8.49 	0.00, 40.00 	14,48,40,951		inf,inf	0,0 	0
