#Time 	Sensor1         	Sensor2         	Target         
#================================================================

8927    	-0.25, -15.62 	-0.70, -16.17 	0.00, -6.58
8943    	-0.25, -15.62 	-94.63, 353.19 	0.00, -6.58
8959    	-0.25, -15.62 	-0.71, -16.12 	0.00, -6.58
9037    	-0.25, -15.62 	-0.70, -16.17 	0.00, -6.58
9052    	-0.25, -15.50 	-0.71, -16.12 	0.00, -6.58
9067    	-0.27, -15.50 	-0.71, -16.12 	0.00, -6.58
9082    	-0.28, -15.50 	-0.71, -16.12 	0.00, -6.58
9097    	-0.28, -15.50 	-0.71, -16.12 	0.00, -6.58
9178    	-0.25, -15.46 	-0.71, -16.12 	0.00, -6.58
9194    	-0.27, -15.46 	-0.71, -16.12 	0.00, -6.58
9210    	-0.27, -15.46 	-94.63, 353.19 	0.00, -6.58
9226    	-0.25, -15.46 	-0.71, -16.12 	0.00, -6.58
9304    	-0.27, -15.50 	-0.70, -16.17 	0.00, -6.58
9319    	-0.28, -15.46 	-0.70, -16.21 	0.00, -6.58
9334    	-0.27, -15.50 	-0.70, -16.21 	0.00, -6.58
9349    	-0.27, -15.50 	-0.70, -16.21 	0.00, -6.58
9364    	-0.27, -15.50 	-0.70, -16.21 	0.00, -6.58
9444    	-0.27, -15.50 	-0.70, -16.13 	0.00, -6.58
9460    	-0.27, -15.50 	-0.70, -16.13 	0.00, -6.58
9476    	-0.27, -15.46 	-0.70, -16.13 	0.00, -6.58
9491    	-0.27, -15.46 	-0.71, -16.12 	0.00, -6.58
9593    	-0.25, -15.46 	-0.70, -16.17 	0.00, -6.58
9609    	-0.25, -15.46 	-0.70, -16.17 	0.00, -6.58
9625    	-0.27, -15.46 	-0.70, -16.17 	0.00, -6.58
9641    	-0.27, -15.46 	-0.69, -16.16 	0.00, -6.58
9657    	-0.27, -15.46 	-0.70, -16.17 	0.00, -6.58
9672    	-0.27, -15.46 	-0.70, -16.17 	0.00, -6.58
9749    	-0.27, -15.46 	-0.70, -16.17 	0.00, -6.58
9764    	-0.24, -15.62 	-0.70, -16.16 	0.00, -6.58
9779    	-0.24, -15.58 	-0.70, -16.17 	0.00, -6.58
9794    	-0.26, -15.58 	-0.69, -16.16 	0.00, -6.58
9809    	-0.27, -15.46 	-0.70, -16.17 	0.00, -6.58
9890    	-0.28, -15.42 	-94.60, 353.24 	0.00, -6.58
9905    	-0.28, -15.42 	-0.70, -16.17 	0.00, -6.58
9921    	-0.28, -15.42 	-0.70, -16.21 	0.00, -6.58
9937    	-0.28, -15.42 	-0.70, -16.21 	0.00, -6.58
10015   	-0.27, -15.51 	-0.69, -16.25 	0.00, -6.58
10030   	-0.27, -15.50 	-0.69, -16.25 	0.00, -6.58
10045   	-0.27, -15.50 	-0.70, -16.17 	0.00, -6.58
10060   	-0.27, -15.50 	-0.70, -16.17 	0.00, -6.58
10075   	-0.27, -15.51 	-0.70, -16.17 	0.00, -6.58
10156   	-0.26, -15.41 	-0.71, -16.20 	0.00, -6.58
10172   	-0.47, -10.29 	-0.70, -16.21 	0.00, -6.58
10188   	-0.45, -10.25 	-0.72, -16.05 	0.00, -6.58
10204   	-0.27, -15.41 	-0.70, -16.05 	0.00, -6.58
10281   	-0.27, -15.46 	-0.64, -16.23 	0.00, -6.58
10296   	-0.27, -15.46 	-0.66, -16.29 	0.00, -6.58
10311   	-0.25, -15.45 	-95.45, 354.70 	0.00, -6.58
10326   	-0.25, -15.50 	-1.60, -16.01 	0.00, -6.58
10341   	-0.25, -15.53 	-1.67, -15.77 	0.00, -6.58
10422   	-0.28, -15.49 	-2.16, -13.10 	0.00, -6.58
10438   	-0.28, -15.49 	-2.21, -12.99 	0.00, -6.58
10454   	-0.28, -15.49 	-3.11, -12.72 	0.00, -6.58
10470   	-0.28, -15.64 	-3.14, -11.85 	0.00, -6.58
10548   	-0.28, -15.69 	-3.38, -10.69 	0.00, -6.58
10563   	-0.29, -15.64 	-3.38, -10.66 	0.00, -6.58
10578   	-0.29, -15.60 	-3.39, -10.65 	0.00, -6.58
10593   	-0.29, -15.73 	-3.37, -9.99 	0.00, -6.58
10608   	-0.31, -15.85 	-3.43, -9.47 	0.00, -6.58
10688   	-0.34, -15.85 	-3.42, -9.52 	0.00, -6.58
10704   	-0.34, -15.85 	-3.45, -9.39 	0.00, -6.58
10719   	-0.34, -15.84 	-98.89, 304.31 	0.00, -6.58
10734   	-0.36, -15.77 	-3.43, -9.23 	0.00, -6.58
10815   	-0.37, -15.72 	-3.37, -9.21 	0.00, -6.58
10830   	-0.36, -15.84 	-3.35, -9.23 	0.00, -6.58
10845   	-0.36, -15.89 	-3.33, -9.33 	0.00, -6.58
10860   	-0.35, -15.89 	-3.32, -9.28 	0.00, -6.58
10875   	-0.35, -15.89 	-98.74, 302.97 	0.00, -6.58
10956   	-0.36, -15.80 	-3.22, -8.65 	0.00, -6.58
