#Time 	Sensor1         	Sensor2         	Target         
#================================================================

8421    	0.03, -14.48 	-11.83, -14.57 	0.00, 2.08
8437    	0.03, -14.48 	-11.81, -14.72 	0.00, 2.08
8453    	0.03, -14.49 	-11.83, -14.69 	0.00, 2.08
8469    	0.03, -14.48 	-11.83, -14.61 	0.00, 2.08
8538    	0.02, -14.36 	-11.81, -14.69 	0.00, 2.08
8554    	0.03, -14.48 	-11.81, -14.69 	0.00, 2.08
8570    	0.03, -14.44 	-11.81, -14.69 	0.00, 2.08
8586    	0.03, -14.44 	-11.81, -14.69 	0.00, 2.08
8602    	0.03, -14.44 	-11.81, -14.69 	0.00, 2.08
8679    	0.02, -14.40 	-11.81, -14.65 	0.00, 2.08
8696    	0.03, -14.44 	-11.82, -14.65 	0.00, 2.08
8713    	0.03, -14.44 	-102.43, 340.32 	0.00, 2.08
8729    	0.03, -14.44 	-11.82, -14.65 	0.00, 2.08
8745    	0.03, -14.44 	-11.82, -14.65 	0.00, 2.08
8827    	0.03, -14.44 	-11.83, -14.65 	0.00, 2.08
8844    	0.02, -14.36 	-11.83, -14.57 	0.00, 2.08
8860    	0.03, -14.44 	-11.83, -14.57 	0.00, 2.08
8876    	0.02, -14.48 	-11.83, -14.65 	0.00, 2.08
8960    	0.03, -14.48 	-11.83, -14.65 	0.00, 2.08
8975    	0.03, -14.44 	-11.83, -14.65 	0.00, 2.08
8992    	0.03, -14.44 	-11.83, -14.65 	0.00, 2.08
9008    	0.03, -14.44 	-11.82, -14.65 	0.00, 2.08
9024    	0.03, -14.44 	-11.82, -14.65 	0.00, 2.08
9102    	0.04, -14.52 	-11.82, -14.65 	0.00, 2.08
9121    	0.03, -14.48 	-11.82, -14.65 	0.00, 2.08
9136    	0.03, -14.48 	-11.82, -14.65 	0.00, 2.08
9151    	0.04, -14.44 	-11.82, -14.65 	0.00, 2.08
9221    	0.03, -14.43 	-11.82, -14.70 	0.00, 2.08
9236    	0.03, -14.39 	-11.82, -14.74 	0.00, 2.08
9251    	0.02, -14.39 	-11.82, -14.74 	0.00, 2.08
9266    	0.03, -14.51 	-11.82, -14.74 	0.00, 2.08
9281    	0.02, -14.52 	-11.81, -14.70 	0.00, 2.08
9361    	0.01, -14.43 	-11.83, -14.63 	0.00, 2.08
9377    	0.01, -14.43 	-11.83, -14.63 	0.00, 2.08
9393    	0.01, -14.43 	-11.82, -14.63 	0.00, 2.08
9409    	0.02, -14.51 	-11.82, -14.63 	0.00, 2.08
9487    	0.03, -14.48 	-102.45, 340.45 	0.00, 2.08
9502    	0.03, -14.44 	-11.84, -14.71 	0.00, 2.08
9517    	0.03, -14.44 	-11.84, -14.71 	0.00, 2.08
9532    	0.03, -14.44 	-11.84, -14.71 	0.00, 2.08
9547    	0.03, -14.44 	-11.84, -14.71 	0.00, 2.08
9631    	0.04, -14.51 	-11.83, -14.66 	0.00, 2.08
9647    	0.04, -14.51 	-11.84, -14.70 	0.00, 2.08
9663    	0.05, -14.51 	-11.84, -14.70 	0.00, 2.08
9678    	0.04, -14.47 	-11.84, -14.70 	0.00, 2.08
9693    	0.04, -14.47 	-11.83, -14.70 	0.00, 2.08
9775    	0.03, -14.56 	-11.82, -14.74 	0.00, 2.08
9791    	0.04, -14.52 	-11.83, -14.78 	0.00, 2.08
9807    	0.04, -14.60 	-11.83, -14.78 	0.00, 2.08
9828    	0.04, -14.55 	-11.83, -14.78 	0.00, 2.08
9847    	0.04, -14.52 	-11.84, -14.71 	0.00, 2.08
9924    	0.01, -14.48 	-11.84, -14.70 	0.00, 2.08
9940    	0.03, -14.49 	-11.84, -14.70 	0.00, 2.08
9956    	0.01, -14.49 	-11.83, -14.67 	0.00, 2.08
9972    	0.01, -14.45 	-11.83, -14.71 	0.00, 2.08
10051   	0.02, -14.52 	-11.83, -14.67 	0.00, 2.08
10066   	0.02, -14.52 	-11.83, -14.68 	0.00, 2.08
10081   	0.02, -14.52 	-11.83, -14.68 	0.00, 2.08
10096   	0.02, -14.52 	-11.83, -14.71 	0.00, 2.08
10111   	0.02, -14.52 	-11.84, -14.80 	0.00, 2.08
10192   	0.02, -14.52 	-11.83, -14.84 	0.00, 2.08
10208   	0.02, -14.52 	-11.83, -14.84 	0.00, 2.08
10224   	0.01, -14.52 	-11.83, -14.84 	0.00, 2.08
10240   	0.02, -14.52 	-11.83, -14.84 	0.00, 2.08
10318   	0.02, -14.52 	-11.83, -14.72 	0.00, 2.08
10337   	0.01, -14.49 	-11.82, -14.72 	0.00, 2.08
10352   	0.02, -14.53 	-11.82, -14.72 	0.00, 2.08
10367   	0.02, -14.53 	-11.82, -14.72 	0.00, 2.08
10382   	0.02, -14.53 	-11.84, -14.72 	0.00, 2.08
10459   	0.03, -14.45 	-11.82, -14.76 	0.00, 2.08
10475   	0.03, -14.45 	-11.83, -14.76 	0.00, 2.08
10491   	0.03, -14.45 	-11.84, -14.76 	0.00, 2.08
10507   	0.03, -14.45 	-11.82, -14.64 	0.00, 2.08
10585   	0.03, -14.45 	-11.82, -14.64 	0.00, 2.08
10600   	0.03, -14.52 	-11.82, -14.64 	0.00, 2.08
10615   	0.03, -14.44 	-11.84, -14.64 	0.00, 2.08
10630   	0.02, -14.40 	-11.84, -14.64 	0.00, 2.08
10645   	0.02, -14.52 	-102.34, 340.63 	0.00, 2.08
10725   	0.02, -14.41 	-11.83, -14.68 	0.00, 2.08
10741   	0.02, -14.41 	-11.81, -14.68 	0.00, 2.08
10757   	0.02, -14.41 	-11.81, -14.68 	0.00, 2.08
10772   	0.03, -14.44 	-11.81, -14.68 	0.00, 2.08
10850   	0.03, -14.48 	-11.82, -14.72 	0.00, 2.08
10865   	0.03, -14.48 	-11.82, -14.72 	0.00, 2.08
10880   	0.03, -14.48 	-11.81, -14.73 	0.00, 2.08
10895   	0.02, -14.41 	-11.81, -14.72 	0.00, 2.08
10910   	0.02, -14.41 	-11.81, -14.72 	0.00, 2.08
10990   	0.03, -14.48 	-11.82, -14.68 	0.00, 2.08
11006   	0.03, -14.48 	-11.81, -14.76 	0.00, 2.08
11022   	0.03, -14.48 	-102.26, 340.61 	0.00, 2.08
11038   	0.02, -14.36 	-11.81, -14.73 	0.00, 2.08
11116   	0.02, -14.36 	-11.80, -14.84 	0.00, 2.08
11131   	0.02, -14.36 	-11.80, -14.84 	0.00, 2.08
11146   	0.02, -14.36 	-11.80, -14.84 	0.00, 2.08
11161   	0.02, -14.36 	-11.80, -14.84 	0.00, 2.08
11176   	0.02, -14.36 	-11.80, -14.80 	0.00, 2.08
11257   	0.02, -14.36 	-11.81, -14.72 	0.00, 2.08
11273   	0.02, -14.36 	-11.81, -14.72 	0.00, 2.08
11289   	0.02, -14.36 	-11.82, -14.72 	0.00, 2.08
11305   	0.02, -14.36 	-11.82, -14.72 	0.00, 2.08
11383   	0.02, -14.40 	-11.82, -14.72 	0.00, 2.08
11402   	0.03, -14.45 	-11.82, -14.72 	0.00, 2.08
11417   	0.03, -14.40 	-11.82, -14.72 	0.00, 2.08
11472   	0.03, -14.41 	-11.81, -14.68 	0.00, 2.08
11487   	0.03, -14.40 	-11.80, -14.80 	0.00, 2.08
11502   	0.03, -14.41 	-11.80, -14.80 	0.00, 2.08
11517   	0.03, -14.41 	-11.82, -14.80 	0.00, 2.08
11532   	0.03, -14.40 	-11.80, -14.80 	0.00, 2.08
11613   	0.01, -14.41 	-11.82, -14.72 	0.00, 2.08
11628   	0.01, -14.41 	-11.82, -14.72 	0.00, 2.08
11644   	0.01, -14.41 	-11.82, -14.72 	0.00, 2.08
11707   	0.01, -14.41 	-11.80, -14.76 	0.00, 2.08
11722   	0.01, -14.41 	-11.80, -14.76 	0.00, 2.08
11737   	0.01, -14.41 	-102.22, 340.59 	0.00, 2.08
11752   	0.01, -14.41 	-11.81, -14.72 	0.00, 2.08
11767   	0.01, -14.41 	-11.81, -14.72 	0.00, 2.08
