#Time 	Sensor1         	Sensor2         	Target         
#================================================================

7102    	0.04, -14.54 	-11.82, -14.73 	-9.15, -4.23
7118    	0.04, -14.54 	-11.82, -14.73 	-9.15, -4.23
7134    	0.05, -14.54 	-11.82, -14.77 	-9.15, -4.23
7210    	0.06, -14.70 	-11.81, -14.73 	-9.15, -4.23
7226    	0.06, -14.70 	-11.81, -14.73 	-9.15, -4.23
7242    	0.05, -14.71 	-11.81, -14.73 	-9.15, -4.23
7258    	0.05, -14.71 	-11.80, -14.73 	-9.15, -4.23
7274    	0.05, -14.59 	-11.80, -14.73 	-9.15, -4.23
7351    	0.03, -14.63 	-11.80, -14.66 	-9.15, -4.23
7368    	0.04, -14.67 	-11.80, -14.66 	-9.15, -4.23
7384    	0.04, -14.67 	-11.79, -14.66 	-9.15, -4.23
7400    	0.04, -14.67 	-11.79, -14.66 	-9.15, -4.23
7476    	0.05, -14.71 	-11.81, -14.65 	-9.15, -4.23
7492    	0.05, -14.70 	-11.81, -14.65 	-9.15, -4.23
7508    	0.05, -14.70 	-11.81, -14.65 	-9.15, -4.23
7524    	0.05, -14.70 	-11.81, -14.65 	-9.15, -4.23
7540    	0.06, -14.66 	-11.81, -14.65 	-9.15, -4.23
7617    	0.04, -14.66 	-11.80, -14.69 	-9.15, -4.23
7634    	0.06, -14.66 	-11.80, -14.69 	-9.15, -4.23
7654    	0.04, -14.67 	-11.82, -14.69 	-9.15, -4.23
7670    	0.05, -14.71 	-11.81, -14.69 	-9.15, -4.23
7686    	0.05, -14.71 	-11.82, -14.53 	-9.15, -4.23
7765    	0.05, -14.71 	-11.81, -14.57 	-9.15, -4.23
7782    	0.05, -14.67 	-11.81, -14.57 	-9.15, -4.23
7798    	0.04, -14.63 	-11.81, -14.57 	-9.15, -4.23
7814    	0.04, -14.70 	-11.81, -14.53 	-9.15, -4.23
7890    	0.05, -14.66 	-11.81, -14.61 	-9.15, -4.23
7906    	0.05, -14.62 	-11.81, -14.65 	-9.15, -4.23
7922    	0.05, -14.62 	-11.81, -14.65 	-9.15, -4.23
7938    	0.06, -14.67 	-11.81, -14.65 	-9.15, -4.23
7954    	0.06, -14.67 	-11.81, -14.65 	-9.15, -4.23
8030    	0.05, -14.71 	-11.82, -14.65 	-9.15, -4.23
8047    	0.05, -14.75 	-11.79, -14.65 	-9.15, -4.23
8063    	0.06, -14.71 	-11.79, -14.65 	-9.15, -4.23
8080    	0.06, -14.71 	-11.79, -14.61 	-9.15, -4.23
8157    	0.06, -14.70 	-11.79, -14.61 	-9.15, -4.23
8173    	0.04, -14.70 	-11.79, -14.61 	-9.15, -4.23
8189    	0.04, -14.70 	-11.79, -14.61 	-9.15, -4.23
8205    	0.04, -14.66 	-11.78, -14.65 	-9.15, -4.23
8226    	0.04, -14.66 	-11.79, -14.65 	-9.15, -4.23
8305    	0.05, -14.67 	-11.79, -14.66 	-9.15, -4.23
8321    	0.05, -14.59 	-11.79, -14.66 	-9.15, -4.23
8337    	0.05, -14.55 	-11.80, -14.69 	-9.15, -4.23
8353    	0.05, -14.55 	-11.79, -14.69 	-9.15, -4.23
8369    	0.04, -14.55 	-11.78, -14.70 	-9.15, -4.23
8446    	0.05, -14.63 	-11.79, -14.61 	-9.15, -4.23
8463    	0.04, -14.54 	-11.79, -14.61 	-9.15, -4.23
8483    	0.04, -14.54 	-11.79, -14.65 	-9.15, -4.23
8499    	0.03, -14.63 	-11.79, -14.65 	-9.15, -4.23
8571    	0.03, -14.55 	-11.78, -14.65 	-9.15, -4.23
8587    	0.03, -14.54 	-11.78, -14.66 	-9.15, -4.23
8603    	0.03, -14.58 	-11.77, -14.69 	-9.15, -4.23
8619    	0.03, -14.58 	-11.77, -14.69 	-9.15, -4.23
8635    	0.03, -14.59 	-11.77, -14.66 	-9.15, -4.23
8712    	0.03, -14.59 	-11.78, -14.70 	-9.15, -4.23
8729    	0.03, -14.59 	-11.78, -14.70 	-9.15, -4.23
8745    	0.03, -14.59 	-11.78, -14.70 	-9.15, -4.23
8761    	0.03, -14.59 	-11.77, -14.70 	-9.15, -4.23
8777    	0.04, -14.55 	-11.78, -14.70 	-9.15, -4.23
8860    	0.04, -14.55 	-11.79, -14.65 	-9.15, -4.23
8877    	0.04, -14.55 	-11.79, -14.65 	-9.15, -4.23
8897    	0.04, -14.55 	-11.79, -14.65 	-9.15, -4.23
8913    	0.04, -14.55 	-11.79, -14.65 	-9.15, -4.23
8929    	0.04, -14.55 	-11.79, -14.65 	-9.15, -4.23
9008    	0.04, -14.55 	-11.78, -14.69 	-9.15, -4.23
9025    	0.04, -14.55 	-11.78, -14.65 	-9.15, -4.23
9041    	0.04, -14.55 	-11.79, -14.65 	-9.15, -4.23
9057    	0.04, -14.55 	-11.80, -14.60 	-9.15, -4.23
9073    	0.04, -14.67 	-11.80, -14.60 	-9.15, -4.23
9155    	0.04, -14.67 	-11.81, -14.61 	-9.15, -4.23
9172    	0.04, -14.70 	-11.81, -14.61 	-9.15, -4.23
9188    	0.05, -14.66 	-11.81, -14.61 	-9.15, -4.23
9205    	0.04, -14.62 	-11.81, -14.61 	-9.15, -4.23
9282    	0.05, -14.66 	-11.79, -14.65 	-9.15, -4.23
9298    	0.06, -14.81 	-11.79, -14.65 	-9.15, -4.23
9314    	0.05, -14.77 	-11.79, -14.65 	-9.15, -4.23
9330    	0.06, -14.80 	-11.79, -14.65 	-9.15, -4.23
9346    	0.05, -14.77 	-11.79, -14.65 	-9.15, -4.23
9423    	0.04, -14.77 	-11.78, -14.69 	-9.15, -4.23
9440    	0.05, -14.81 	-11.78, -14.69 	-9.15, -4.23
9456    	0.05, -14.81 	-11.80, -14.69 	-9.15, -4.23
9472    	0.05, -14.81 	-11.80, -14.69 	-9.15, -4.23
9548    	0.03, -14.68 	-11.79, -14.74 	-9.15, -4.23
9564    	0.03, -14.68 	-11.80, -14.74 	-9.15, -4.23
9580    	0.03, -14.68 	-11.80, -14.74 	-9.15, -4.23
9596    	0.05, -14.68 	-11.78, -14.74 	-9.15, -4.23
9612    	0.05, -14.68 	-11.78, -14.74 	-9.15, -4.23
9689    	0.05, -14.64 	-11.79, -14.70 	-9.15, -4.23
9706    	0.05, -14.60 	-11.79, -14.70 	-9.15, -4.23
9722    	0.05, -14.60 	-11.79, -14.70 	-9.15, -4.23
9738    	0.05, -14.68 	-103.52, 340.36 	-9.15, -4.23
9814    	0.01, -14.53 	-11.80, -14.69 	-9.15, -4.23
9830    	0.04, -14.48 	-11.81, -14.69 	-9.15, -4.23
9845    	0.03, -14.53 	-11.81, -14.65 	-9.15, -4.23
9860    	0.03, -14.53 	-103.53, 340.31 	-9.15, -4.23
9875    	0.03, -14.53 	-11.78, -14.69 	-9.15, -4.23
9954    	0.03, -14.53 	-11.79, -14.73 	-9.15, -4.23
9970    	0.04, -14.56 	-11.78, -14.66 	-9.15, -4.23
9986    	0.03, -14.65 	-11.78, -14.66 	-9.15, -4.23
10002   	0.04, -14.65 	-11.79, -14.66 	-9.15, -4.23
