#Time 	Sensor1         	Sensor2         	Target         
#================================================================

6753    	0.01, -14.44 	-11.84, -14.72 	-12.20, -0.55
6769    	0.00, -14.28 	-11.84, -14.72 	-12.20, -0.55
6785    	0.00, -14.28 	-11.84, -14.72 	-12.20, -0.55
6801    	0.00, -14.32 	-11.84, -14.72 	-12.20, -0.55
6818    	0.00, -14.28 	-11.84, -14.72 	-12.20, -0.55
6898    	0.02, -14.40 	-11.85, -14.76 	-12.20, -0.55
6922    	0.02, -14.41 	-11.82, -14.80 	-12.20, -0.55
6939    	0.02, -14.40 	-11.84, -14.80 	-12.20, -0.55
6955    	0.02, -14.40 	-11.84, -14.80 	-12.20, -0.55
6971    	0.02, -14.41 	-11.84, -14.80 	-12.20, -0.55
6987    	0.01, -14.41 	-11.84, -14.80 	-12.20, -0.55
7070    	0.01, -14.41 	-11.84, -14.80 	-12.20, -0.55
7086    	0.01, -14.41 	-11.84, -14.80 	-12.20, -0.55
7102    	0.01, -14.41 	-11.84, -14.80 	-12.20, -0.55
7118    	0.01, -14.41 	-11.83, -14.80 	-12.20, -0.55
7202    	0.00, -14.28 	-11.84, -14.80 	-12.20, -0.55
7218    	0.00, -14.28 	-11.84, -14.71 	-12.20, -0.55
7235    	0.00, -14.28 	-11.83, -14.71 	-12.20, -0.55
7251    	0.00, -14.28 	-11.84, -14.80 	-12.20, -0.55
7267    	0.01, -14.41 	-11.82, -14.80 	-12.20, -0.55
7283    	0.01, -14.41 	-11.82, -14.80 	-12.20, -0.55
7365    	-0.00, -14.40 	-11.84, -14.75 	-12.20, -0.55
7382    	-0.00, -14.41 	-11.81, -14.76 	-12.20, -0.55
7402    	-0.00, -14.41 	-11.82, -14.76 	-12.20, -0.55
7418    	0.01, -14.41 	-11.83, -14.76 	-12.20, -0.55
7434    	0.01, -14.41 	-11.82, -14.76 	-12.20, -0.55
7513    	0.01, -14.41 	-11.83, -14.76 	-12.20, -0.55
7530    	0.01, -14.41 	-11.83, -14.76 	-12.20, -0.55
7546    	0.01, -14.41 	-11.83, -14.76 	-12.20, -0.55
7562    	0.01, -14.41 	-11.83, -14.76 	-12.20, -0.55
7638    	0.01, -14.41 	-11.83, -14.76 	-12.20, -0.55
7654    	-0.00, -14.40 	-11.83, -14.76 	-12.20, -0.55
7670    	-0.00, -14.41 	-11.83, -14.76 	-12.20, -0.55
7687    	-0.00, -14.41 	-11.82, -14.76 	-12.20, -0.55
7703    	0.01, -14.41 	-11.82, -14.76 	-12.20, -0.55
7779    	0.02, -14.41 	-11.82, -14.72 	-12.20, -0.55
7795    	0.02, -14.41 	-11.83, -14.72 	-12.20, -0.55
7811    	0.02, -14.41 	-11.83, -14.72 	-12.20, -0.55
7828    	0.02, -14.41 	-11.83, -14.72 	-12.20, -0.55
7906    	0.03, -14.45 	-11.82, -14.79 	-12.20, -0.55
7921    	0.03, -14.45 	-11.82, -14.79 	-12.20, -0.55
7936    	0.03, -14.45 	-102.12, 340.55 	-12.20, -0.55
7952    	0.03, -14.45 	-11.83, -14.84 	-12.20, -0.55
7968    	0.02, -14.45 	-11.84, -14.72 	-12.20, -0.55
8046    	0.04, -14.45 	-11.83, -14.80 	-12.20, -0.55
8061    	0.04, -14.45 	-11.83, -14.84 	-12.20, -0.55
8077    	0.04, -14.45 	-11.83, -14.84 	-12.20, -0.55
8098    	0.03, -14.45 	-11.84, -14.72 	-12.20, -0.55
8113    	0.02, -14.41 	-102.15, 340.59 	-12.20, -0.55
8194    	0.03, -14.48 	-11.84, -14.72 	-12.20, -0.55
8209    	0.03, -14.48 	-11.83, -14.72 	-12.20, -0.55
8225    	0.03, -14.44 	-11.83, -14.72 	-12.20, -0.55
8241    	0.03, -14.48 	-11.83, -14.72 	-12.20, -0.55
8319    	0.03, -14.48 	-11.83, -14.72 	-12.20, -0.55
8334    	0.02, -14.41 	-11.83, -14.72 	-12.20, -0.55
8349    	0.02, -14.41 	-102.15, 340.54 	-12.20, -0.55
8364    	0.02, -14.41 	-11.84, -14.72 	-12.20, -0.55
8388    	0.02, -14.41 	-11.83, -14.72 	-12.20, -0.55
8467    	0.02, -14.41 	-11.82, -14.80 	-12.20, -0.55
8482    	0.03, -14.44 	-11.83, -14.80 	-12.20, -0.55
8497    	0.02, -14.41 	-11.83, -14.80 	-12.20, -0.55
8512    	0.02, -14.41 	-11.83, -14.80 	-12.20, -0.55
8585    	0.02, -14.40 	-102.15, 340.63 	-12.20, -0.55
8600    	0.02, -14.40 	-11.82, -14.69 	-12.20, -0.55
8615    	0.02, -14.40 	-11.84, -14.68 	-12.20, -0.55
8630    	0.02, -14.40 	-11.83, -14.68 	-12.20, -0.55
8645    	0.02, -14.40 	-11.83, -14.72 	-12.20, -0.55
8726    	0.02, -14.40 	-11.85, -14.68 	-12.20, -0.55
8742    	0.02, -14.40 	-102.12, 340.55 	-12.20, -0.55
8758    	0.02, -14.40 	-11.84, -14.72 	-12.20, -0.55
8774    	0.01, -14.44 	-11.82, -14.67 	-12.20, -0.55
8851    	0.02, -14.48 	-11.83, -14.71 	-12.20, -0.55
8866    	0.02, -14.48 	-11.84, -14.71 	-12.20, -0.55
8881    	0.02, -14.48 	-11.81, -14.72 	-12.20, -0.55
8896    	0.00, -14.48 	-11.81, -14.64 	-12.20, -0.55
8911    	0.01, -14.44 	-11.80, -14.76 	-12.20, -0.55
8992    	0.01, -14.45 	-11.77, -14.71 	-12.20, -0.55
9008    	0.01, -14.45 	-11.73, -14.53 	-12.20, -0.55
9024    	0.01, -14.45 	-11.70, -14.58 	-12.20, -0.55
9047    	0.00, -14.44 	-11.67, -14.48 	-12.20, -0.55
