#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	2.10, -6.12, 3.25 	0.09, 0.75, -6.37 	0.00, 30.00 	11,29,9,945		inf,inf	0,0 	0
0       	2.09, -6.15, 3.24 	0.07, 0.75, -6.38 	0.00, 30.00 	11,29,9,945		inf,inf	0,0 	0
0       	2.07, -6.13, 3.24 	0.07, 0.75, -6.38 	0.00, 30.00 	11,29,9,945		inf,-nan	0,0 	0
0       	2.10, -6.13, 3.24 	0.07, 0.77, -6.38 	0.00, 30.00 	11,29,9,945		inf,inf	0,0 	0
0       	2.06, -6.17, 3.27 	0.04, 0.76, -6.38 	0.00, 30.00 	11,29,9,945		inf,inf	0,0 	0
0       	2.04, -6.18, 3.32 	0.10, 0.78, -6.39 	0.00, 30.00 	11,29,9,945		inf,inf	0,0 	0
0       	1.92, -6.21, 3.48 	0.10, 0.76, -6.38 	0.00, 30.00 	11,29,9,945		inf,inf	0,0 	0
0       	1.48, -6.08, 3.65 	0.08, 0.76, -6.39 	0.00, 30.00 	11,29,9,945		inf,inf	0,0 	0
0       	1.21, -5.99, 3.71 	0.10, 0.74, -6.38 	0.00, 30.00 	11,29,9,945		inf,inf	0,0 	0
0       	1.06, -6.03, 3.53 	0.09, 0.76, -6.38 	0.00, 30.00 	11,29,9,945		inf,inf	0,0 	0
0       	1.13, -6.15, 3.19 	0.08, 0.76, -6.38 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	1.44, -6.21, 3.02 	0.02, 0.74, -6.37 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	2.08, -6.26, 2.98 	0.03, 0.73, -6.36 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	2.60, -6.29, 2.91 	0.04, 0.72, -6.38 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	2.83, -6.18, 2.89 	0.18, 0.76, -6.39 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	2.58, -6.03, 3.03 	0.21, 0.76, -6.39 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	2.22, -5.92, 3.12 	0.23, 0.76, -6.40 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	1.97, -5.90, 3.16 	0.24, 0.76, -6.37 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	1.90, -5.83, 3.14 	0.17, 0.78, -6.39 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	1.92, -5.81, 3.12 	0.12, 0.76, -6.39 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	1.93, -5.80, 3.11 	0.04, 0.78, -6.36 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	2.00, -5.79, 3.09 	-0.01, 0.75, -6.36 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	2.03, -5.81, 3.10 	0.00, 0.75, -6.36 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	2.12, -5.84, 3.08 	0.00, 0.74, -6.36 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	2.02, -5.87, 3.17 	0.01, 0.75, -6.38 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	0.95, -5.75, 3.38 	0.00, 0.75, -6.38 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	-0.06, -5.51, 3.63 	0.01, 0.75, -6.38 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	0.29, -5.28, 3.80 	-0.00, 0.76, -6.38 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	0.90, -5.19, 3.68 	-0.00, 0.77, -6.39 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	1.14, -5.11, 3.56 	-0.00, 0.76, -6.36 	0.00, 30.00 	11,29,9,946		inf,inf	0,0 	0
0       	1.17, -5.09, 3.48 	0.01, 0.75, -6.36 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.21, -5.09, 3.47 	0.01, 0.75, -6.36 	0.00, 30.00 	11,29,9,947		inf,-nan	0,0 	0
0       	1.19, -5.12, 3.45 	0.01, 0.74, -6.36 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.18, -5.14, 3.43 	0.01, 0.74, -6.35 	0.00, 30.00 	11,29,9,947		inf,-nan	0,0 	0
0       	1.16, -5.17, 3.41 	0.02, 0.74, -6.38 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.22, -5.17, 3.42 	0.05, 0.73, -6.37 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.38, -5.15, 3.42 	0.04, 0.73, -6.36 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.47, -5.16, 3.40 	0.04, 0.73, -6.37 	0.00, 30.00 	11,29,9,947		inf,-nan	0,0 	0
0       	1.49, -5.10, 3.40 	0.04, 0.74, -6.37 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.37, -5.00, 3.43 	-0.02, 0.74, -6.36 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.25, -4.96, 3.45 	0.01, 0.74, -6.38 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.21, -4.98, 3.42 	-0.02, 0.73, -6.36 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.25, -5.03, 3.39 	0.00, 0.73, -6.37 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.30, -5.05, 3.38 	-0.05, 0.71, -6.38 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.38, -5.07, 3.38 	-0.07, 0.72, -6.39 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.42, -5.09, 3.37 	-0.04, 0.73, -6.39 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.45, -5.09, 3.37 	0.00, 0.75, -6.39 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.48, -5.07, 3.38 	0.02, 0.74, -6.38 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.47, -5.08, 3.39 	0.06, 0.74, -6.39 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.43, -5.05, 3.40 	0.08, 0.73, -6.38 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.44, -5.04, 3.39 	0.05, 0.72, -6.37 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.37, -5.01, 3.38 	0.00, 0.72, -6.37 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.41, -5.01, 3.37 	-0.05, 0.71, -6.37 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.42, -5.02, 3.35 	-0.03, 0.72, -6.37 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.44, -5.02, 3.34 	-0.08, 0.71, -6.37 	0.00, 30.00 	11,29,9,947		inf,inf	0,0 	0
0       	1.50, -5.04, 3.33 	-0.07, 0.70, -6.39 	0.00, 30.00 	11,29,9,948		inf,inf	0,0 	0
0       	1.57, -5.07, 3.32 	-0.05, 0.70, -6.39 	0.00, 30.00 	11,29,9,948		inf,inf	0,0 	0
0       	1.85, -5.15, 3.33 	-0.05, 0.70, -6.39 	0.00, 30.00 	11,29,9,948		inf,-nan	0,0 	0
